"labels","uri","name","type"
"[""Resource"",""http://www.w3.org/2002/07/owl#Class""]","http://www.cidoc-crm.org/cidoc-crm/E28_Conceptual_Object","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P2_has_type","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P65_shows_visual_item","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P165i_is_incorporated_in","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P186i_is_produced_by","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P48_has_preferred_identifier","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P38_deassigned","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P197i_was_partially_covered_by","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P108i_was_produced_by","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#Class""]","http://www.cidoc-crm.org/cidoc-crm/E92_Spacetime_Volume","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P9i_forms_part_of","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P188_requires_production_tool","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P133_is_spatiotemporally_separated_from","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P179_had_sales_price","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P140i_was_attributed_by","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P101_had_as_general_use","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P71_lists","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P197_covered_parts_of","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P53_has_former_or_current_location","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P96i_gave_birth","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P196i_is_defined_by","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#Class""]","http://www.cidoc-crm.org/cidoc-crm/E70_Thing","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P52i_is_current_owner_of","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P128i_is_carried_by","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P67i_is_referred_to_by","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P49_has_former_or_current_keeper","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P14_carried_out_by","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P140_assigned_attribute_to","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#Class""]","http://www.cidoc-crm.org/cidoc-crm/E64_End_of_Existence","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P11i_participated_in","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P62i_is_depicted_by","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P124_transformed","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#Class""]","http://www.cidoc-crm.org/cidoc-crm/E33_E41_Linguistic_Appellation","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P129_is_about","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P55_has_current_location","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P173i_ends_after_or_with_the_start_of","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#Class""]","http://www.cidoc-crm.org/cidoc-crm/E89_Propositional_Object","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P19_was_intended_use_of","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P112_diminished","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#Class""]","http://www.cidoc-crm.org/cidoc-crm/E15_Identifier_Assignment","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#Class""]","http://www.cidoc-crm.org/cidoc-crm/E17_Type_Assignment","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P136_was_based_on","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P22_transferred_title_to","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#ObjectProperty""]","http://www.cidoc-crm.org/cidoc-crm/P144i_gained_member_by","",""
"[""Resource"",""http://www.w3.org/2002/07/owl#Class""]","http://www.cidoc-crm.org/cidoc-crm/E8_Acquisition","",""
